Region;Gene
RL;ATAD5
RL;ECHDC3
RL;FANCA
RL;C21orf91
RL;FSIP2
RL;PRSS35
RL;COL4A3
RL;PLCH1
RL;FEN1
RL;CCDC77
RL;CKAP2
RL;PLCZ1
RL;MCM7
RL;GADD45A
RL;TMPRSS5
RL;TMCC1-AS1
RL;TAS2R20
RL;HIST1H4F
RL;MAPK15
RL;NRL
RL;SMC2
RL;HIST1H2BN
RL;EFCAB1
RL;ZNF732
RL;CNGA3
RL;PAWR
RL;RMI2
RL;TMPRSS7
RL;SLC16A9
RL;HAPLN1
RL;SCARNA22
RL;CEBPD
RL;C21orf58
RL;DEK
RL;LMNB1
RL;SGOL2
RL;HIST2H2AC
RL;ZNF878
RL;DLX3
RL;DNA2
RL;PLD1
RL;MCM2
RL;KNSTRN
RL;TRIP10
RL;SNORA67
RL;WDHD1
RL;ADCYAP1
RL;TAS2R30
RL;FAM72B
RL;LDLRAD3
RL;SLC1A5
RL;LIN9
RL;FAM133CP
RL;MLLT3
RL;PCBP4
RL;SLC45A3
RL;LRRC70
RL;CCNA1
RL;NIPAL4
RL;C1orf112
RL;CTSH
RL;SERINC5
RL;CHAF1A
RL;C8orf76
RL;IGFBPL1
RL;LOC100335030
RL;GINS2
RL;ANGPTL3
RL;CTNNAL1
RL;ADH6
RL;TM4SF1
RL;ZNF90
RL;SLC16A10
EGL;NPS
EGL;ACTC1
EGL;WDR72
EGL;SNORA80B
EGL;SLFN11
EGL;DCT
EGL;CENPW
EGL;FOXN4
EGL;NMU
EGL;PPP1R17
EGL;CDHR1
EGL;TP73
EGL;HIST1H3B
EGL;MYBL1
EGL;UBE2C
EGL;HMGB2
EGL;HIST1H2BJ
EGL;NUF2
EGL;RAD51AP1
EGL;HIST1H1D
EGL;HIST1H1B
EGL;ASPM
EGL;C2orf48
EGL;KIAA0101
EGL;RRM2
EGL;HIST1H3J
EGL;CENPF
EGL;TOP2A
EGL;TK1
EGL;MFNG
EGL;HIST1H3H
EGL;HIST1H3F
EGL;DDIT4L
EGL;KIF14
EGL;CDC25C
EGL;E2F7
EGL;CEP55
EGL;CCNB2
EGL;HIST1H2BB
EGL;DEPDC1
EGL;HIST1H2BL
EGL;DLGAP5
EGL;HIST1H1T
EGL;HIST1H2BM
EGL;CYTL1
EGL;HIST1H3D
EGL;EXO1
EGL;NDC80
EGL;CASC5
EGL;DEPDC1B
EGL;TROAP
EGL;HIST1H2AL
EGL;FKBP5
EGL;PTTG1
EGL;HIST1H3G
EGL;E2F1
EGL;TTK
EGL;KIF15
EGL;BIRC5
EGL;CENPU
EGL;CDK1
EGL;CKAP2L
EGL;CEP152
EGL;NEK2
EGL;HIST1H1C
EGL;NEIL3
EGL;SKA1
EGL;HIST1H2BO
EGL;SMC4
EGL;ECT2
EGL;XKR5
EGL;MXD3
EGL;CCNE2
EGL;ESCO2
EGL;SGOL1
EGL;HIST1H2BI
EGL;PIF1
EGL;FAM83D
EGL;HIST1H2BH
EGL;ACRV1
EGL;CDCA8
EGL;SPAG5
EGL;CDC45
EGL;MIR548F2
EGL;CENPA
EGL;HIST1H2AJ
EGL;TRIM59
EGL;DSG2
EGL;BRIP1
EGL;HJURP
EGL;HK2
EGL;FAM111B
EGL;KIF11
EGL;HIST1H2AM
EGL;KIF2C
EGL;AURKB
EGL;KIF20A
EGL;SNORA80A
EGL;PRC1
EGL;DIAPH3
EGL;CDCA2
EGL;DCDC1
EGL;GTSE1
EGL;POLQ
EGL;HIST1H2AG
EGL;CENPE
EGL;BUB1B
EGL;PSMB9
EGL;RTKN2
EGL;NUSAP1
EGL;SPC25
EGL;KIFC1
EGL;PMCH
EGL;CCNB1
EGL;MAD2L1
EGL;UBE2T
EGL;KIF18A
EGL;MCM10
EGL;ASF1B
EGL;FBXO43
EGL;ZWINT
EGL;NCAPH
EGL;DLEU2
EGL;CDC20
EGL;CDKN3
EGL;BUB1
EGL;ARHGAP11B
EGL;MIR133A1HG
EGL;KIF23
EGL;HIST1H4H
EGL;CDCA3
EGL;ORC6
EGL;FAM64A
EGL;CENPI
EGL;HIST1H2AH
EGL;GSG2
EGL;DTL
EGL;BRCA2
EGL;BTG3
EGL;XRCC2
EGL;HIST1H2AI
EGL;PRR11
EGL;ATAD2
EGL;FANCI
EGL;NCAPG
EGL;IQGAP3
EGL;SKA3
EGL;ANLN
EGL;CLSPN
EGL;HIST1H2AB
EGL;KIF4A
EGL;GIF
EGL;SNORA71D
EGL;HIST1H4A
EGL;MIS18BP1
EGL;HIST1H4B
EGL;E2F2
EGL;KIF20B
EGL;BLM
EGL;IMPA2
EGL;STX3
EGL;CHEK2
EGL;HIST2H3D
EGL;HIST1H3C
EGL;HMMR
EGL;AURKA
EGL;CDCA5
EGL;HIST1H4L
EGL;DSN1
EGL;GLIPR1L1
EGL;MST4
EGL;CLYBL
EGL;RAD51
EGL;HIST1H2BG
EGL;MYO7A
EGL;FBLN1
EGL;HIST1H4I
EGL;ZNF367
EGL;ACTL6A
EGL;MKI67
EGL;HES6
EGL;SFR1
EGL;PLK1
EGL;HIST1H1E
EGL;LOC399815
EGL;SPC24
EGL;MELK
EGL;CKS2
EGL;CCNA2
EGL;BRCA1
EGL;CKS1B
EGL;HIST1H2BD
EGL;SHCBP1
EGL;TPX2
EGL;LRR1
EGL;HIST1H3E
EGL;GALNT12
EGL;CENPN
EGL;KIF19
EGL;ESPL1
EGL;CENPM
EGL;TMPO
EGL;HNRNPU-AS1
EGL;MYBL2
EGL;HIST1H2BK
EGL;TACC3
EGL;HELLS
EGL;ANTXR2
EGL;ZNF492
EGL;UHRF1
EGL;FBXO5
EGL;HMGN2
EGL;ORC1
EGL;LOC100288637
EGL;WDR76
EGL;FANCD2
EGL;MIR7-1
EGL;OIP5
EGL;CCDC15
EGL;CLGN
EGL;TAS2R46
EGL;TICRR
EGL;DEPDC7
EGL;KNTC1
EGL;APOL4
EGL;NDE1
EGL;TTF2
EGL;DBF4
EGL;ERCC6L
EGL;KIAA1524
EGL;UCP2
EGL;TIMELESS
EGL;CDC6
EGL;MND1
EGL;GMNN
EGL;LOC641367
EGL;CHEK1
EGL;TCN1
EGL;CENPK
EGL;PCNA
EGL;TYMS
EGL;PBK
EGL;HIST1H2AK
EGL;MMS22L
EGL;NCAPD2
EGL;NLRC5
EGL;CDK6
EGL;CRISPLD2
EGL;STIL
EGL;RDM1
EGL;ITGB3BP
EGL;TMEM194A
EGL;GEN1
EGL;CPLX3
EGL;NRN1
EGL;PLK4
EGL;SNORD31
EGL;CENPH
EGL;CDKN2C
EGL;RCOR2
EGL;ARHGAP11A
EGL;MTFR2
EGL;ZRANB2-AS1
EGL;UTY
EGL;PAX6
EGL;AVPR2
EGL;CBX2
EGL;INSM2
EGL;RASL11B
EGL;WEE1
EGL;LOXL1
EGL;ARHGEF19
EGL;EFS
EGL;FSIP2
EGL;MCM7
EGL;TMCC1-AS1
EGL;TAS2R20
EGL;ZNF732
EGL;RMI2
EGL;SLC16A9
EGL;SGOL2
EGL;DLX3
EGL;MCM2
EGL;WDHD1
EGL;TAS2R30
EGL;SLC1A5
EGL;FAM133CP
EGL;LRRC70
EGL;IGFBPL1
EGL;GINS2
EGL;ADH6
EGL;SRL
EGL;RPL13AP3
EGL;SNORD27
EGL;DLEU1
EGL;H2AFZ
EGL;SNORD100
EGL;CCDC36
EGL;C11orf82
EGL;POLE2
EGL;HSD11B2
EGL;HMGN5
EGL;MCM3
EGL;CDCA7L
EGL;LOC81691
EGL;BAZ1A
EGL;ANG
EGL;SNORD6
EGL;OR10V2P
EGL;MFAP4
EGL;BORA
EGL;AKR7A2P1
EGL;CCDC150
EGL;POLA1
EGL;PLS1
EGL;MYCL
EGL;GINS4
EGL;FKBP7
EGL;SLC2A4
EGL;SNORD29
EGL;RCC2
EGL;SNRPB
EGL;DKKL1
EGL;TMEM243
EGL;PKN3
EGL;RPL22L1
EGL;TEAD2
EGL;GNRH1
EGL;TGFBR1
